Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT),TF (nT),TF20pt, Tempature (°F)
12/7/2021 19:53,70.230377,-148.382812,6998.47,-32134.98,-64697.64,72576.99459,72783.63148,999
12/7/2021 19:54,70.230377,-148.382812,6879.63,-32139.37,-64821.27,72677.81957,72782.7961,999
12/7/2021 19:55,70.230377,-148.382812,6783,-32106.87,-64970.73,72787.74586,72787.86895,999
12/7/2021 19:56,70.230377,-148.382812,6673.19,-32145.18,-65006.17,72826.13679,72774.95373,999
12/7/2021 19:57,70.230377,-148.382812,6759.4,-32137.13,-65085.38,72901.24349,72767.56575,999
12/7/2021 19:59,70.230377,-148.382812,7064.99,-32171.24,-64793.2,72684.67193,72757.99754,999
12/7/2021 20:00,70.230377,-148.382812,7107.29,-32176.06,-64955.11,72835.28488,72755.64042,999
12/7/2021 20:01,70.230377,-148.382812,6890.45,-32064.64,-65223.75,73005.18477,72753.00599,999
12/7/2021 20:02,70.230377,-148.382812,6929.31,-32023.27,-65034.28,72821.44419,72735.77673,999
12/7/2021 20:03,70.230377,-148.382812,6872.11,-31928.86,-65060.14,72797.66352,72738.43958,999
12/7/2021 20:04,70.230377,-148.382812,6891.24,-31958.68,-65030.89,72786.42092,72749.05561,999
12/7/2021 20:06,70.230377,-148.382812,6682.07,-31980.56,-64936.19,72691.91873,72751.79467,999
12/7/2021 20:07,70.230377,-148.382812,6652.4,-31997.54,-64768.2,72546.65205,72752.56685,999
12/7/2021 20:08,70.230377,-148.382812,6754.77,-32019.76,-64688.23,72494.54496,72747.70043,999
12/7/2021 20:09,70.230377,-148.382812,6716.92,-32102.28,-64835.71,72659.08537,72739.11724,999
12/7/2021 20:10,70.230377,-148.382812,6561.55,-32152.26,-64908.17,72731.64576,72735.33191,999
12/7/2021 20:11,70.230377,-148.382812,6693.02,-32078.65,-65003.86,72796.55292,72718.9101,999
12/7/2021 20:13,70.230377,-148.382812,6784.97,-32071.32,-64705.22,72535.30781,72699.38656,999
12/7/2021 20:14,70.230377,-148.382812,6850.99,-32080.72,-65073.16,72874.03387,72693.41152,999
12/7/2021 20:15,70.230377,-148.382812,6746.61,-32197.75,-64919.39,72778.69915,72683.11441,999
12/7/2021 20:16,70.230377,-148.382812,6710.38,-32170,-64882.16,72729.86172,72670.00687,999
12/7/2021 20:17,70.230377,-148.382812,6781.03,-32015.08,-65032.64,72802.41741,72672.76014,999
12/7/2021 20:18,70.230377,-148.382812,6768.68,-32034.05,-64947.61,72733.67468,72679.17729,999
12/7/2021 20:20,70.230377,-148.382812,6787.45,-32145.36,-64895.66,72738.16284,72679.35896,999
12/7/2021 20:21,70.230377,-148.382812,6703.24,-32167.96,-64752.61,72612.7508,72676.67442,999
12/7/2021 20:22,70.230377,-148.382812,6736.66,-32057.91,-64703.42,72523.27034,72666.45687,999
12/7/2021 20:23,70.230377,-148.382812,6791.82,-32070.42,-64815.83,72634.23763,72649.60395,999
12/7/2021 20:24,70.230377,-148.382812,6773.81,-32199.35,-64836.4,72707.91846,72649.41581,999
12/7/2021 20:25,70.230377,-148.382812,6682.33,-32156.82,-64748.27,72602.01839,72636.30919,999
12/7/2021 20:27,70.230377,-148.382812,6806.53,-32143.62,-64669.39,72537.37768,72633.58129,999
12/7/2021 20:28,70.230377,-148.382812,6642.23,-32130.46,-64924.86,72744.23087,72625.52829,999
12/7/2021 20:29,70.230377,-148.382812,6909.56,-32131.21,-64811.77,72668.57784,72609.32572,999
12/7/2021 20:30,70.230377,-148.382812,6813.5,-32132.52,-64630,72497.99669,72593.47949,999
12/7/2021 20:31,70.230377,-148.382812,7042.5,-32194.8,-64698,72608.07915,72588.78786,999
12/7/2021 20:32,70.230377,-148.382812,6945.37,-32100.03,-64676.43,72537.51228,72591.72534,999
12/7/2021 20:34,70.230377,-148.382812,6788.17,-32195.78,-64576.88,72476.3474,72590.50545,999
