Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT),TF (nT), Tempature (°F)
12/8/2021 17:18,70.230377,-148.382812,-1212.13,9966.28,-72203.59,72898.24693,999
12/8/2021 17:20,70.230377,-148.382812,-1194.13,9894.6,-72240.13,72924.38164,999
12/8/2021 17:21,70.230377,-148.382812,-1075.14,9906.58,-72214.38,72898.64836,999
12/8/2021 17:22,70.230377,-148.382812,-1093.69,9985.53,-72311.89,73006.27646,999
12/8/2021 17:23,70.230377,-148.382812,-1214.5,9898.57,-72433.91,73117.22106,999
12/8/2021 17:24,70.230377,-148.382812,-1149.64,9904.09,-72387.14,73070.58716,999
12/8/2021 17:25,70.230377,-148.382812,-1127.82,9837.82,-72217.97,72893.68883,999
12/8/2021 17:27,70.230377,-148.382812,-1202.16,9872.88,-72454.86,73134.29897,999
12/8/2021 17:28,70.230377,-148.382812,-1194.69,9900.13,-72497.5,73180.10224,999
12/8/2021 17:29,70.230377,-148.382812,-1199.03,9941.84,-72262.53,72953.07463,999
12/8/2021 17:30,70.230377,-148.382812,-1327.3,9838.72,-72415.06,73092.42814,999
12/8/2021 17:31,70.230377,-148.382812,-1341.51,9899.81,-72280.3,72967.44243,999
12/8/2021 17:32,70.230377,-148.382812,-1244.51,9887.58,-72301.07,72984.64062,999
12/8/2021 17:34,70.230377,-148.382812,-1250.3,9828.7,-72426.33,73100.88831,999
12/8/2021 17:35,70.230377,-148.382812,-1374.73,9935.92,-72162.09,72855.88255,999
12/8/2021 17:36,70.230377,-148.382812,-1156.53,9757.44,-72252.53,72917.57873,999
12/8/2021 17:37,70.230377,-148.382812,-1308.98,9690.33,-72278.09,72936.53555,999
12/8/2021 17:38,70.230377,-148.382812,-1248.73,9703.46,-72219.3,72878.96648,999
12/8/2021 17:39,70.230377,-148.382812,-1298.97,9617.25,-72123.59,72773.56014,999
12/8/2021 17:41,70.230377,-148.382812,-1218.97,9669.85,-72601.1,73252.38295,999
12/8/2021 17:42,70.230377,-148.382812,-1274.88,9871.23,-72436.73,73117.34646,999
12/8/2021 17:43,70.230377,-148.382812,-1383.79,9793.37,-72416.1,73088.4157,999
12/8/2021 17:44,70.230377,-148.382812,-1326.58,9641.57,-72296.98,72949.11243,999
12/8/2021 17:45,70.230377,-148.382812,-1094.49,9691.12,-72298.95,72953.77911,999
12/8/2021 17:46,70.230377,-148.382812,-1117.26,9635.33,-72361.34,73008.5706,999
12/8/2021 17:48,70.230377,-148.382812,-1071.85,9676.98,-72188.3,72841.90731,999
12/8/2021 17:49,70.230377,-148.382812,-1209.58,9675.46,-72381.18,73035.01098,999
12/8/2021 17:50,70.230377,-148.382812,-1134.23,9655.5,-72300.73,72951.4271,999
12/8/2021 17:51,70.230377,-148.382812,-1310.09,9672.84,-72605.85,73259.0583,999
12/8/2021 17:52,70.230377,-148.382812,-1354.52,9731.18,-72428.5,73091.8477,999
12/8/2021 17:53,70.230377,-148.382812,-1179.58,9793.84,-72475.96,73144.21022,999
12/8/2021 17:55,70.230377,-148.382812,-1109.75,9885.9,-72358.05,73038.68813,999
12/8/2021 17:56,70.230377,-148.382812,-1224.26,9916.18,-72441.09,73126.8826,999
12/8/2021 17:57,70.230377,-148.382812,-1186.7,9810.96,-72303.07,72975.3186,999
12/8/2021 17:58,70.230377,-148.382812,-1430.6,9809.86,-72165.09,72842.8458,999
12/8/2021 17:59,70.230377,-148.382812,-1314.84,9697.27,-72173.91,72834.32662,999
12/8/2021 18:00,70.230377,-148.382812,-1342.14,9778.85,-72146.62,72818.69282,999
12/8/2021 18:02,70.230377,-148.382812,-1422.85,9819.79,-72422.26,73098.81341,999
