Time (UTC),Latitude (deg),Longitude (deg), X (nT), Y (nT), Z (nT), Tempature (°F)
2022-07-19 18:15:51,70.230591,-148.381531,-6861.32,23633.39,-25059.51,999.00
2022-07-19 18:17:01,70.230591,-148.381531,-6864.42,23646.00,-25079.63,999.00
2022-07-19 18:18:11,70.230591,-148.381531,-6857.79,23681.80,-25381.62,999.00
2022-07-19 18:19:21,70.230591,-148.381531,-6965.81,23495.42,-25301.78,999.00
2022-07-19 18:20:31,70.230591,-148.381531,-7032.84,23481.88,-25313.48,999.00
2022-07-19 18:21:41,70.230591,-148.381531,-6954.29,23514.88,-25358.58,999.00
2022-07-19 18:22:51,70.230591,-148.381531,-7072.15,23577.17,-25398.26,999.00
2022-07-19 18:24:01,70.230591,-148.381531,-6814.28,23584.75,-25674.70,999.00
2022-07-19 18:25:11,70.230591,-148.381531,-6906.96,23558.52,-25860.61,999.00
2022-07-19 18:26:21,70.230591,-148.381531,-6939.31,23433.45,-25877.88,999.00
2022-07-19 18:27:31,70.230591,-148.381531,-6918.72,23588.68,-25798.49,999.00
2022-07-19 18:28:41,70.230591,-148.381531,-6970.58,23512.78,-25762.87,999.00
2022-07-19 18:29:51,70.230591,-148.381531,-6970.97,23467.81,-25754.80,999.00
2022-07-19 18:31:01,70.230591,-148.381531,-6862.59,23416.85,-25714.04,999.00
2022-07-19 18:32:11,70.230591,-148.381531,-6939.66,23541.11,-25905.65,999.00
2022-07-19 18:33:21,70.230591,-148.381531,-6871.43,23524.37,-25952.79,999.00
2022-07-19 18:34:31,70.230591,-148.381531,-6861.38,23648.24,-25872.56,999.00
2022-07-19 18:35:41,70.230591,-148.381531,-6798.37,23614.85,-25837.16,999.00
2022-07-19 18:36:51,70.230591,-148.381531,-6878.53,23578.86,-25707.26,999.00
2022-07-19 18:38:01,70.230591,-148.381531,-6883.84,23598.28,-25637.03,999.00
2022-07-19 18:39:11,70.230591,-148.381531,-6792.71,23773.65,-25741.67,999.00
2022-07-19 18:40:21,70.230591,-148.381531,-7042.80,23685.16,-25982.22,999.00
2022-07-19 18:41:31,70.230591,-148.381531,-6986.26,23680.72,-25791.36,999.00
2022-07-19 18:42:41,70.230591,-148.381531,-7010.75,23540.47,-25611.26,999.00
2022-07-19 18:43:51,70.230591,-148.381531,-6902.44,23806.86,-25799.53,999.00
2022-07-19 18:45:01,70.230591,-148.381531,-7035.30,23587.04,-25511.69,999.00
2022-07-19 18:46:11,70.230591,-148.381531,-6802.38,23689.56,-25779.44,999.00
