Time (UTC),Latitude (deg),Longitude (deg), Total Field (nT), Horizontal Component (nT), Vertical Component (nT)
2022-03-14 05:47:54,39.992420,-105.247673,112872.67,4878.10,112767.21
2022-03-14 05:48:04,39.992420,-105.247673,112998.01,5050.46,112885.09
2022-03-14 05:48:14,39.992420,-105.247673,113306.40,5267.83,113183.88
2022-03-14 05:48:24,39.992420,-105.247673,112627.67,5309.48,112502.45
2022-03-14 05:48:34,39.992420,-105.247673,113176.98,4944.46,113068.91
2022-03-14 05:48:44,39.992420,-105.247673,112691.78,5168.83,112573.18
2022-03-14 05:48:54,39.992420,-105.247673,113086.87,5350.13,112960.24
2022-03-14 05:49:04,39.992420,-105.247673,113194.73,6464.42,113009.99
2022-03-14 05:49:14,39.992420,-105.247673,113584.55,6278.09,113410.92
2022-03-14 05:49:24,39.992420,-105.247673,113108.84,6101.61,112944.15
2022-03-14 05:49:34,39.992420,-105.247673,113513.52,6395.43,113333.22
2022-03-14 05:49:44,39.992420,-105.247673,113541.51,6299.08,113366.64
2022-03-14 05:49:54,39.992420,-105.247673,113101.66,6381.32,112921.50
2022-03-14 05:50:04,39.992420,-105.247673,113524.72,6365.70,113346.11
2022-03-14 05:50:14,39.992420,-105.247673,113358.03,6218.22,113187.35
2022-03-14 05:50:24,39.992420,-105.247673,113125.72,6204.23,112955.46
2022-03-14 05:50:34,39.992420,-105.247673,113316.16,6337.76,113138.78
2022-03-14 05:50:44,39.992420,-105.247673,50926.81,16973.57,48014.97
2022-03-14 05:50:54,39.992428,-105.247688,52294.08,19244.43,48624.30
2022-03-14 05:51:04,39.992428,-105.247673,52805.70,19264.72,49166.17
2022-03-14 05:51:14,39.992424,-105.247673,47603.87,19873.20,43257.19
2022-03-14 05:51:24,39.992428,-105.247665,47714.69,20151.40,43250.58
2022-03-14 05:51:34,39.992428,-105.247665,47734.12,20607.35,43056.75
2022-03-14 05:51:44,39.992432,-105.247681,48115.16,20028.36,43748.52
2022-03-14 05:51:54,39.992447,-105.247681,47638.00,20526.45,42988.89
2022-03-14 05:52:04,39.992439,-105.247688,47647.21,19683.69,43391.36
2022-03-14 05:52:14,39.992435,-105.247688,47255.09,19927.99,42847.62
2022-03-14 05:52:24,39.992428,-105.247688,47579.82,19932.19,43203.55
2022-03-14 05:52:34,39.992428,-105.247696,47496.53,20109.02,43029.61
2022-03-14 05:52:44,39.992416,-105.247688,47447.27,20021.54,43016.05
2022-03-14 05:52:54,39.992416,-105.247688,47263.22,20243.18,42708.61
2022-03-14 05:53:04,39.992413,-105.247681,47445.93,19544.83,43233.27
2022-03-14 05:53:14,39.992413,-105.247681,47402.77,20229.98,42869.23
2022-03-14 05:53:24,39.992413,-105.247681,47553.88,20665.72,42828.71
2022-03-14 05:53:34,39.992424,-105.247696,47329.54,19817.41,42980.88
2022-03-14 05:53:44,39.992424,-105.247681,47256.86,18791.69,43359.93
2022-03-14 05:53:54,39.992420,-105.247696,47693.16,20321.36,43147.18
2022-03-14 05:54:04,39.992420,-105.247681,47733.25,20254.90,43222.71
2022-03-14 05:54:14,39.992424,-105.247681,47711.44,20030.46,43303.14
2022-03-14 05:54:24,39.992420,-105.247673,47613.95,20337.00,43052.22
